date,IFB,ifb.r
4/30/2016,800.5,-0.21214209
5/1/2016,802.6,0.26199254
5/2/2016,800.2,-0.299476141
5/3/2016,798.7,-0.18762905
5/4/2016,798.5,-0.025043827
5/7/2016,796.4,-0.263339547
5/8/2016,795.4,-0.125643942
5/9/2016,801.3,0.739027601
5/10/2016,802.9,0.199476441
5/11/2016,794.1,-1.102077529
5/14/2016,797.1,0.377074353
5/15/2016,799,0.238080433
5/16/2016,801.1,0.262483745
5/17/2016,804.8,0.460801612
5/18/2016,818.4,1.675741529
5/21/2016,812.4,-0.735838493
5/23/2016,814,0.19675363
5/24/2016,814.1,0.012284258
5/25/2016,817.2,0.380065436
5/28/2016,825.3,0.986309366
5/29/2016,819.9,-0.6564575
5/30/2016,819.9,0
5/31/2016,816.5,-0.415546919
6/1/2016,814.7,-0.220696509
6/5/2016,820.5,0.709396321
6/6/2016,814.8,-0.697122618
6/7/2016,812.7,-0.258064659
6/8/2016,808.3,-0.542876102
6/11/2016,796.8,-1.432957047
6/12/2016,789.8,-0.882395742
6/13/2016,789.1,-0.088669333
6/14/2016,781.2,-1.006185652
6/15/2016,777.1,-0.526215679
6/18/2016,773.9,-0.412637594
6/19/2016,765.4,-1.104409328
6/20/2016,757.7,-1.011104405
6/21/2016,764,0.828026023
6/22/2016,777.4,1.738722925
6/25/2016,770.6,-0.878558623
6/26/2016,773.8,0.414401007
6/28/2016,779.5,0.733924623
6/29/2016,775.9,-0.46290426
7/2/2016,777.7,0.23171998
7/3/2016,779.8,0.269663085
7/4/2016,781.3,0.192172245
7/5/2016,783.7,0.306709506
7/9/2016,780.6,-0.396343931
7/10/2016,778.5,-0.269386347
7/11/2016,776,-0.321647109
7/12/2016,770.4,-0.72426597
7/13/2016,766.9,-0.455344571
7/16/2016,770.4,0.455344571
7/17/2016,772,0.207468954
7/18/2016,771.8,-0.025910092
7/19/2016,780.1,1.069666749
7/20/2016,787.6,0.956823017
7/23/2016,793.6,0.758920921
